Company Name,Address,Phone,Link,Rating,NumReview,Pin Code,Latitude,Longitude
Brahmins Coffee Bar,"Ranga Rao Road, Shankarapuram, Basavanagudi, Bangalore - 560004, Near Uma Theater and Shankar Mutt",-9845030143,https://www.justdial.com/Bangalore/Brahmins-Coffee-Bar-Near-Uma-Theater-and-Shankar-Mutt-Basavanagudi/080PXX80-XX80-090613102103-W4T1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.5,17504,560004,12.94528052,77.5743426
Hard Rock Cafe,"No 40, Bible Society Building, St Marks Road, Bangalore - 560001, Opposite to LIC Building",-41242211,https://www.justdial.com/Bangalore/Hard-Rock-Cafe-Opposite-to-LIC-Building-St-Marks-Road/080P5607802_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,15321,560001,12.97406376,77.59459773
Kaapi Katte,"No.1160, Nehru Main Road, Beml Layout, 3rd Stage, Rajarajeshwari Nagar, Bangalore - 560098, Near Ranga Mandir",-28600033,https://www.justdial.com/Bangalore/Kaapi-Katte-Near-Ranga-Mandir-Rajarajeshwari-Nagar/080PXX80-XX80-120407144848-E9E9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.5,13421,560098,12.91952867,77.51829396
The Hole In The Wall Cafe,"No 4, 8th Main Road, Koramangala 4th Block, Bangalore - 560034, Opposite Mango Suites",-40949479,https://www.justdial.com/Bangalore/The-Hole-In-The-Wall-Cafe-Opposite-Mango-Suites-Koramangala-4th-Block/080PXX80-XX80-100401135515-D7M5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,13073,560034,12.92816764,77.63595256
Kapoors Cafe,"Thubarahalli, Varthur Main Road, Whitefield, Bangalore - 560066, Near Thubarahalli Bus Stop, Inside Gurukul Compound",-32559430,https://www.justdial.com/Bangalore/Kapoors-Cafe-Near-Thubarahalli-Bus-Stop-Inside-Gurukul-Compound-Whitefield/080PXX80-XX80-140531093124-L9V6_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,9612,560066,12.97249773,77.73502742
Onesta,"No.501, 3rd Floor, Cmh Road,Binnamangala Extension, 1st Stage, Indiranagar, Bangalore - 560038, Next Max Showroom",-43712846,https://www.justdial.com/Bangalore/Onesta-Next-Max-Showroom-Indiranagar/080PXX80-XX80-151231130601-X1Y2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,9192,560038,12.97707002,77.63937902
DYU Art Cafe,"No.23, MIG KHB Colony, Koramangala 8th Block, Bangalore - 560095, Near Mangala Kalyana Mantapa",-49653389,https://www.justdial.com/Bangalore/DYU-Art-Cafe-Near-Mangala-Kalyana-Mantapa-Koramangala-8th-Block/080PXX80-XX80-131118144934-T4N3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,8885,560095,13.02750156,77.57910576
Cafe Petu,"1st Floor, N S Complex, Kundanhalli Gate, Itpl Main Road, Marathahalli, Bangalore - 560037",-8867258784,https://www.justdial.com/Bangalore/Cafe-Petu-Marathahalli/080PXX80-XX80-141006120001-K3G8_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,8314,560037,12.95717672,77.69315527
Kapoors Cafe,"No.337, 27th Main, Hsr Layout, Bangalore - 560102, Near Mothi Mahal Delux",-9739267611,https://www.justdial.com/Bangalore/Kapoors-Cafe-Near-Mothi-Mahal-Delux-Hsr-Layout/080PXX80-XX80-170413090736-V9N1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,7692,560102,12.99782056,77.64692615
Cafe Azzure,"No.52, Brigade Road, Shanthala Nagar, Bangalore - 560001",-49652089,https://www.justdial.com/Bangalore/Cafe-Azzure-Shanthala-Nagar/080PXX80-XX80-161130110626-K6L2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,6238,560001,12.97406376,77.59459773
Therpup A Dog Cafe,"13, White Rose Layout, Abhayadhama Road, Whitefield, Bangalore - 560066, Near Mahadevapura, Beside Cafe Coffee Day",-9008804187,https://www.justdial.com/Bangalore/Therpup-A-Dog-Cafe-Near-Mahadevapura-Beside-Cafe-Coffee-Day-Whitefield/080PXX80-XX80-161019120919-W6D5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,6164,560066,12.97249773,77.73502742
Kapoors Cafe,"7M-215, 7th Main Road, 80 Feet Road, Kalyan Nagar, Bangalore - 560043, 2nd Block, HRBR Layout",-9739267611,https://www.justdial.com/Bangalore/Kapoors-Cafe-2nd-Block-HRBR-Layout-Kalyan-Nagar/080PXX80-XX80-170816110712-H8L3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,5919,560043,13.01928667,77.64525035
Matteo Coffea,"No.2, Brigade Road, Brigade Road, Bangalore - 560001, Beside Nasa Pub",-43335989,https://www.justdial.com/Bangalore/Matteo-Coffea-Beside-Nasa-Pub-Brigade-Road/080PXX80-XX80-091230151708-U9S5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,5537,560001,12.97406376,77.59459773
Bahar Cafe,"Ground Floor, Vims Hospital Building, Outer Ring Road, Marathahalli, Bangalore - 560037, Opposite to More Supermarket",-45128810,https://www.justdial.com/Bangalore/Bahar-Cafe-Opposite-to-More-Supermarket-Marathahalli/080PXX80-XX80-160924075204-Q8W1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.8,5495,560037,12.95717672,77.69315527
Starbucks,"Ground Floor, Prestige Rr Building, Bangalore - 560001",18602660010,https://www.justdial.com/Bangalore/Starbucks/080PXX80-XX80-140522110751-P2E5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,5157,560001,12.97406376,77.59459773
Dakshin Cafe,"No. 0075.008, Kothnur Main Road, Jp Nagar 7th Phase, Bangalore - 560078, Near Big Bazaar",-48535225,https://www.justdial.com/Bangalore/Dakshin-Cafe-Near-Big-Bazaar-Jp-Nagar-7th-Phase/080PXX80-XX80-170811132102-J3Q7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,5076,560078,12.90328252,77.58606645
Mudpipe Cafe,"No.1, Kdp Building, Hosur Main Road, Btm Layou, Koramangala, Bangalore - 560034, Opposite to Prestige Acropolis &amp; Near Forum Mallt",-8553389802,https://www.justdial.com/Bangalore/Mudpipe-Cafe-Opposite-to-Prestige-Acropolis-Near-Forum-Mallt-Koramangala/080PXX80-XX80-150713152744-U9E5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,4931,560034,12.92816764,77.63595256
Rooftop Cafe,"No.16/33, 11th Main, Jayanagar 4th Block, Bangalore - 560011, Near Cool Joint",-26544400,https://www.justdial.com/Bangalore/Rooftop-Cafe-Near-Cool-Joint-Jayanagar-4th-Block/080PXX80-XX80-150423114036-G7H7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,4814,560011,12.9309075,77.58641776
Dr Sheesha Hukka Cafe,"24th Main Road, Biba Plaza 3rd Floor, Jp Nagar 2nd Phase, Bangalore - 560078, Next to LIC Building",-46809313,https://www.justdial.com/Bangalore/Dr-Sheesha-Hukka-Cafe-Next-to-LIC-Building-Jp-Nagar-2nd-Phase/080PXX80-XX80-161020115914-U2G7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.8,4807,560078,12.90328252,77.58606645
The Bangalore Cafe,"No 4, KH Road, Double Road, Shanthinagar, Bangalore - 560027, Beside VGP Building",-41621845,https://www.justdial.com/Bangalore/The-Bangalore-Cafe-Beside-VGP-Building-Shanthinagar/080PXX80-XX80-190716182134-F6K2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,4761,560027,12.96085775,77.59238974
Cafe Coffee Day,"No 23/2, Lavelle Road, Vittal Mallya Road, Bangalore - 560001, Opposite  Ub City",-40012090,https://www.justdial.com/Bangalore/Cafe-Coffee-Day-Opposite-Ub-City-Vittal-Mallya-Road/080PXX80-XX80-120426122345-N6J2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,4595,560001,12.97406376,77.59459773
Mccafe By Mcdonalds,"4m/511, Hrbr Layout, 3rd Block, Bengaluru,Kammanahalli/Kalyan Nagar, Kamanahalli Main Road, Lingarajapuram, Bangalore - 560084, Next Tanishq Showroom",-9035957137,https://www.justdial.com/Bangalore/Mccafe-By-Mcdonalds-Next-Tanishq-Showroom-Lingarajapuram/080PXX80-XX80-191224200639-Q3W3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.8,4588,560084,13.00458749,77.62327531
Brahmin Tiffins & Coffee,"No.35/8, 11th Main Road, 30th Cross, Jayanagar 4th T Block, Bangalore - 560041",-9164730805,https://www.justdial.com/Bangalore/Brahmin-Tiffins-Coffee-Jayanagar-4th-T-Block/080PXX80-XX80-150517143721-B1X3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,4575,560041,12.92443274,77.59124811
Starbucks,"Real Square Building, 7th Block, Koramangala 7th Block, Bangalore - 560095, Opposite to Raheja Arcade",18602660010,https://www.justdial.com/Bangalore/Starbucks-Opposite-to-Raheja-Arcade-Koramangala-7th-Block/080PXX80-XX80-131123112809-L8U1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,4485,560095,13.02750156,77.57910576
Tea Villa Cafe,"No.2343, A J Forte Building, Basement &amp; 1st Floor, 17th Cross Road, Hsr Layout Sector 1, Bangalore - 560102, Opposite Gayathri Basaweshwara Temple",-49755744,https://www.justdial.com/Bangalore/Tea-Villa-Cafe-Opposite-Gayathri-Basaweshwara-Temple-Hsr-Layout-Sector-1/080PXX80-XX80-180619170544-R9Y1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,4017,560102,12.99782056,77.64692615
Green Theory Restaurant And..,"No.15, 100 Feet Road, Convent Road, Bangalore - 560025, Near Bishop Cotten Girls School",-41663825,https://www.justdial.com/Bangalore/Green-Theory-Restaurant-And-Cafe-Near-Bishop-Cotten-Girls-School-Convent-Road/080PXX80-XX80-110627124344-R4X9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,3965,560025,12.96828125,77.6071723
Smallys Resto Cafe,"Kristal Prestige, 75/2, 17th Main Road, Koramangala 5th Block, Bangalore - 560034, Kormangala Industrial Layout, Opposite to Bhima Jewellers",-7406772351,https://www.justdial.com/Bangalore/Smallys-Resto-Cafe-Kormangala-Industrial-Layout-Opposite-to-Bhima-Jewellers-Koramangala-5th-Block/080PXX80-XX80-170320102830-R6K1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,3885,560034,12.92816764,77.63595256
Starbucks,"No 15/16, La Classic Building, 100 Feet Ring Road, Jp Nagar, Bangalore - 560078, Near Delmia Signal, Next to Cuppa Coffee, Kas Officer Layout, Indira Nagar",-9136443644,https://www.justdial.com/Bangalore/Starbucks-Near-Delmia-Signal-Next-to-Cuppa-Coffee-Kas-Officer-Layout-Indira-Nagar-Jp-Nagar/080PXX80-XX80-140814153409-W7T7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,3881,560078,12.90328252,77.58606645
Alchemy Coffee Roasters,"No 51, 5th Main Road, 36th Cross Road, Jayanagar 5th Block, Bangalore - 560041, Near RV Metro",-8762473846,https://www.justdial.com/Bangalore/Alchemy-Coffee-Roasters-Near-RV-Metro-Jayanagar-5th-Block/080PXX80-XX80-180129180424-H1V2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3859,560041,12.92443274,77.59124811
Kullad Cafe,"1210, 16 Main Rd, Mchs Colony, BTM Layout 2nd Stage, Bangalore - 560076, Opp. IAS Colony",-9972089140,https://www.justdial.com/Bangalore/Kullad-Cafe-Opp-IAS-Colony-BTM-Layout-2nd-Stage/080PXX80-XX80-160107114542-A8P9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.8,3766,560076,12.89742562,77.59790616
Sector 7 Cafe,"1136 17th Cross, HSR Layout, Bangalore - 560102, Near Andhra Bank",-41697160,https://www.justdial.com/Bangalore/Sector-7-Cafe-Near-Andhra-Bank-HSR-Layout/080PXX80-XX80-160706151422-N2V4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3697,560102,12.99782056,77.64692615
Sree Krishna Kafe,"No.143, 1st Floor, 5th Block, KHB Colony, Koramangala, Bangalore - 560095, Near G K Vale Studio and Anand Sweets, Opposite Vastra",-41104334,https://www.justdial.com/Bangalore/Sree-Krishna-Kafe-Near-G-K-Vale-Studio-and-Anand-Sweets-Opposite-Vastra-Koramangala/080PXX80-XX80-180106102254-Y3F4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,3665,560095,13.02750156,77.57910576
Dunkin Donuts (Brookefield ..,"Ground Floor, Brookefield Mall, ITPL Main Road, Brookefield, Bangalore - 560037",-41155529,https://www.justdial.com/Bangalore/Dunkin-Donuts-Brookefield-Mall-Brookefield/080PXX80-XX80-160204072443-V9M5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3611,560037,12.95717672,77.69315527
Easy Tiger Bar & Cafe,"No 1/A, Chruch Street, M G Road, Bangalore - 560001",-25550696,https://www.justdial.com/Bangalore/Easy-Tiger-Bar-Cafe-M-G-Road/080PXX80-XX80-150513132014-H2U1_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,3607,560001,12.97406376,77.59459773
Mockaholic,"No.1107, 24th Main Road,1st Phase, Jp Nagar, Bangalore - 560078, Near R V Dental College",-42033211,https://www.justdial.com/Bangalore/Mockaholic-Near-R-V-Dental-College-Jp-Nagar/080PXX80-XX80-101020160914-V9H7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.9,3579,560078,12.90328252,77.58606645
Mayura Vybhava,"102/A, 2nd Floor,, EPIP Zone, Whitefield, Bangalore - 560066, Near ITPL Bus Stand",-9449469803,https://www.justdial.com/Bangalore/Mayura-Vybhava-Near-ITPL-Bus-Stand-Whitefield/080PXX80-XX80-170920230127-A2Y8_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,3530,560066,12.97249773,77.73502742
Bengaluru Cafe,"No.6, 9th Cross, 9th Main, Jayanagar 2nd Block, Bangalore - 560011",-8012345588,https://www.justdial.com/Bangalore/Bengaluru-Cafe-Jayanagar-2nd-Block/080PXX80-XX80-180117090037-I3B6_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.4,3516,560011,12.9309075,77.58641776
On The Nose,"268, 6th Main, 2nd Stage, Btm, Vysya Bank Colony, Bangalore - 560076",-42008967,https://www.justdial.com/Bangalore/On-The-Nose-Vysya-Bank-Colony/080PXX80-XX80-170524152224-H6Y3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.9,3509,560076,12.89742562,77.59790616
Mudpipe Cafe,"No. 37/1, 3rd &amp; 4th Floor, Cunningham Road, Bangalore - 560052, Above Dominos Pizza",-9972034278,https://www.justdial.com/Bangalore/Mudpipe-Cafe-Above-Dominos-Pizza-Cunningham-Road/080PXX80-XX80-151117133115-Y6V4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,3430,560052,12.98963231,77.5945789
Hotel Vande Matharam,"No 149/A, R Block, Iskcon Foothills, West Of Chord Road, Rajajinagar, Bangalore - 560010, Next Iskcon Temple",-23477100,https://www.justdial.com/Bangalore/Hotel-Vande-Matharam-Next-Iskcon-Temple-Rajajinagar/080PXX80-XX80-190907140137-C1U4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.8,3398,560010,12.99393175,77.5527473
Sri Krishna Garden,"International Air Port Road, International Airport, Bangalore - 560300, Near NH 7,Kannmangala Gate, Opposite Bisleri Factory , Near International Air Port ,Devanahalli.",-9945393868,https://www.justdial.com/Bangalore/Sri-Krishna-Garden-Near-NH-7-Kannmangala-Gate-Opposite-Bisleri-Factory-Near-International-Air-Port-Devanahalli-International-Airport/080PXX80-XX80-150708160952-N2F9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.7,3367,560300,13.19921574,77.70447535
Tikki Village Cafe & Restau..,"10th Cross, Kempaiah Nagar, Huralichikanahalli, Hesaraghatta Main Road, Chikbanavara, Bangalore - 560090, Near Fun Stop",-9731208217,https://www.justdial.com/Bangalore/Tikki-Village-Cafe-Restaurant-Near-Fun-Stop-Chikbanavara/080PXX80-XX80-170703141142-V8T9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,3.9,3317,560090,13.06194871,77.51635817
The Teal Door Cafe,"No.618, 2nd Main Road, Indiranagar, Bangalore - 560038",-49653135,https://www.justdial.com/Bangalore/The-Teal-Door-Cafe-Indiranagar/080PXX80-XX80-161212111243-S5I2_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4,3296,560038,12.97707002,77.63937902
The Yogisthaan Cafe,"No.89, 11th Cross, 60 Feet Road, Indira Nagar 1st Stage, Bangalore - 560038, Near BDA Complex",-40914877,https://www.justdial.com/Bangalore/The-Yogisthaan-Cafe-Near-BDA-Complex-Indira-Nagar-1st-Stage/080PXX80-XX80-120811160934-L4L9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,3221,560038,12.97707002,77.63937902
Kargeens Cafe,"#36 3rd FLOOR, 100 Feet Road, Koramangala 6th Block, Bangalore - 560095, OPPOSITE PANASONIC SHOWROOM",-41162957,https://www.justdial.com/Bangalore/Kargeens-Cafe-OPPOSITE-PANASONIC-SHOWROOM-Koramangala-6th-Block/080PXX80-XX80-151214105940-X5D5_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3146,560095,13.02750156,77.57910576
Hungry Hippie,"104, Vijay Building, 4th Floor, Koramangala 5th Block, Bangalore - 560034",-47483599,https://www.justdial.com/Bangalore/Hungry-Hippie-Koramangala-5th-Block/080PXX80-XX80-160919125341-D7A3_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3096,560034,12.92816764,77.63595256
Kaapi Katte,"#251, Temple Road, Annapoorneswari Nagar, Bangalore - 560091, Near Annapoorneshwari Temple",-9611943131,https://www.justdial.com/Bangalore/Kaapi-Katte-Near-Annapoorneshwari-Temple-Annapoorneswari-Nagar/080PXX80-XX80-180222192541-B5X9_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,3076,560091,12.99484237,77.50070693
Tea Villa Cafe,"183 , 16 , 5th Main Road , 4th Block , Bengaluru, Jayanagar, Bangalore - 560041",-47482989,https://www.justdial.com/Bangalore/Tea-Villa-Cafe-Jayanagar/080PXX80-XX80-181017170023-X1G7_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.1,3021,560041,12.92443274,77.59124811
Portland Steak House And Ca..,"No.1, 1st Cross, Brunton Road, M G Road, Bangalore - 560001, Diagonally Opposite to Udaya TV, Off Mg Road",-25593394,https://www.justdial.com/Bangalore/Portland-Steak-House-And-Cafe-Diagonally-Opposite-to-Udaya-TV-Off-Mg-Road-M-G-Road/080PXX80-XX80-120716150909-V8A4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.2,2987,560001,12.97406376,77.59459773
Here & Now,"28, 14th Main Road, Hsr Layout Sector 2, Bangalore - 560102, Opposite BDA Complex",-9916932909,https://www.justdial.com/Bangalore/Here-Now-Opposite-BDA-Complex-Hsr-Layout-Sector-2/080PXX80-XX80-160623131220-I8Y4_BZDET?xid=QmFuZ2Fsb3JlIENvZmZlZSBTaG9wcw==,4.3,2965,560102,12.99782056,77.64692615
